GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
100287102	0.09166	0.1168	0.07939	0.04012	0.02646	0.01295	0.07816	0.06555	0.02666	0.03843	0.1554
653635	5.527	6.688	5.573	7.257	10.82	7.305	6.119	8.202	8.613	4.594	8.187
102466751	1.909	3.152	2.893	3.899	6.427	5.664	4.114	7.962	4.533	2.49	5.663
107985730	0	0.03984	0.04063	0	0	0.03977	0.04	0.04025	0.1228	0	0.03976
100302278	0	0	0.1584	0	0	0	0	0.1569	0	0	0
645520	0	0.07586	0.09672	0.0391	0	0.01893	0.05713	0.09583	0	0.01873	0.01893
79501	0	0	0	0	0	0	0	0	0	0.02305	0
100996442	0.3006	0.2146	0.1519	0.3205	0.3349	0.1443	0.2375	0.2832	0.3779	0.1859	0.2579
729737	1.415	0.1331	0.7068	0.5691	2.551	1.434	2.658	2.607	1.826	1.485	0.383
102725121	0.1346	0.16	0.1224	0.04125	0.0136	0	0.1071	0.1482	0	0.05268	0.213
102723897	7.162	7.472	6.368	9.761	12.4	9.902	7.956	10.23	11.33	6.105	9.706
102465909	0.9544	1.891	1.607	1.949	2.892	3.461	2.532	2.548	3.238	1.556	2.831
107985721	0	0.00792	0.01616	0	0	0.007907	0	0.01601	0.02441	0	0
112268260	0.1673	0.08452	0.0431	0.1072	0.1094	0.0357	0.09466	0.07555	0.1369	0.07383	0.0292
729759	0	0.02282	0.02328	0.02353	0.02327	0.02279	0	0	0.02345	0	0
100132287	1.589	0.5199	0.9754	1.168	1.945	1.386	1.699	1.933	1.678	1.022	1.038
105378947	0.0554	0	0.04665	0.01886	0.08394	0	0.03674	0.04622	0.04699	0.04516	0
101928626	0	0	0	0	0	0	0	0	0	0	0
113219467	1326	887.2	1453	1161	737.4	1047	1716	730.8	2317	1429	2359
81399	0.03368	0.01483	0.01891	0.03058	0.0189	0.02591	0.01117	0.01499	0.02667	0.01098	0.007402
100133331	1.65	0.6119	0.9873	1.194	1.984	1.462	1.602	1.602	1.453	0.8618	1.101
107984841	0.6775	0.3703	0.4249	0.5726	1.015	0.7163	0.7204	0.7484	0.8322	0.3428	0.6007
107984847	1.963	1.944	1.622	1.503	4.1	1.809	2.085	2.099	2.86	0.9163	2.205
107984849	0.3863	0.2296	0.5465	0.3156	1.405	0.9934	0.6149	0.4641	0.4718	0.6047	0.5348
100288069	0.6943	0.5159	0.5421	1.031	1.435	0.6086	0.9104	1.122	1.221	0.5248	0.9206
105378580	0.181	0.04588	0.05956	0.0559	0.1148	0.07496	0.0712	0.04636	0.09856	0.04119	0.05413
400728	0.2559	0.1102	0.1012	0.2159	0.1124	0.09906	0.2214	0.2117	0.1359	0.05443	0.06603
79854	0.3449	0.4231	0.3817	0.3859	0.6637	0.5036	0.2288	0.3947	0.4514	0.225	0.1949
643837	1.352	2.066	1.47	1.031	2.059	1.907	1.774	0.7295	0.8943	0.5088	0.7067
107984850	0.008815	0.0524	0.008907	0.02701	0.008905	0	0	0.02647	0	0	0.008717
284593	0.02536	0.01256	0.03844	0.0259	0.02562	0.02508	0.03784	0.02539	0.01291	0.02481	0.05016
284600	0.2916	0.1333	0.02833	0.1088	0.04531	0.01109	0.02789	0.3593	0.9531	0.1262	0.09981
100130417	0.2298	0.1565	0	0.01467	0.02902	0.02841	0.01429	0.9203	1.696	0.1265	0.3977
107985728	0	0.02351	0	0.00606	0	0	0.02951	0.6474	1.033	0.09867	0.2054
148398	2.8	4.392	2.154	3.059	5.273	4.092	2.112	4.548	5.571	1.755	1.866
26155	51.61	70.86	33.78	52.18	86.41	66.31	35.38	36.47	30.33	22.51	22.25
339451	2.561	5.808	4.015	5.643	10.43	6.83	4.216	6.311	4.918	4.63	4.622
84069	0.3403	4.222	1.042	6.289	1.937	3.414	2.558	2.433	3.508	1.046	2.794
84808	0.04787	0.4921	0.133	0.8923	0.2841	0.6037	0.4346	0.3355	0.5055	0.1639	0.3314
57801	3.639	12.4	0.1138	5.742	3.289	1.137	2.925	1.748	4.3	1.719	1.382
9636	335.9	732.4	24.78	582.5	31.53	22.94	20.88	41.41	22.47	17.44	9.538
375790	10.46	54.43	116.8	50.92	43.69	111.3	164.2	91.2	244.7	140.1	108.7
100288175	0.2665	2.024	0.7406	2.473	8.817	1.779	6.12	1.801	6.691	0.9995	0.4393
112267874	0.01601	0.2141	0.03235	0.1308	0.3638	0.08707	0.4936	0.1122	0.4969	0.274	0.08706
105378948	0.06668	0.5652	0.2021	0.7794	2.29	0.447	1.842	0.6007	1.961	0.6813	0.2198
401934	0	0.02256	0	0.02326	0	0	0.07928	0.0114	0.08112	0.01114	0
54991	3.522	5.437	3.218	3.934	11.08	5.851	5.371	3.945	4.753	2.741	2.894
254099	0	0.01323	0	0	0	0	0	0	0	0	0
406984	0	0	0	0.4651	0	0	1.133	0	0	0.4455	0
406983	0	0	0	0.982	0	0	1.435	0	0	0.2351	0
554210	0	0	0	0.5324	0	0	0.5186	0	0	0.7649	0
100506376	0	0	0	0	0	0	0	0	0	0	0
