GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
100287102	7	9	6	3	2	1	6	5	2	3	12
653635	452	552	451	581	876	604	503	670	692	384	677
102466751	6	10	9	12	20	18	13	25	14	8	18
107985730	0	1	1	0	0	1	1	1	3	0	1
100302278	0	0	1	0	0	0	0	1	0	0	0
645520	0	4	5	2	0	1	3	5	0	1	1
79501	0	0	0	0	0	0	0	0	0	1	0
100996442	68	49	34	71	75	33	54	64	84	43	59
729737	358	34	177	141	639	367	676	659	454	384	98
102725121	10	12	9	3	1	0	8	11	0	4	16
102723897	583	614	513	778	999	815	651	832	906	508	799
102465909	3	6	5	6	9	11	8	8	10	5	9
107985721	0	1	2	0	0	1	0	2	3	0	0
112268260	51	26	13	32	33	11	29	23	41	23	9
729759	0	1	1	1	1	1	0	0	1	0	0
100132287	321	106	195	231	389	283	345	390	333	211	212
105378947	6	0	5	2	9	0	4	5	5	5	0
101928626	0	0	0	0	0	0	0	0	0	0	0
113219467	4352	2939	4720	3732	2396	3474	5662	2396	7471	4794	7829
81399	9	4	5	8	5	7	3	4	7	3	2
100133331	326	122	193	231	388	292	318	316	282	174	220
107984841	29	16	18	24	43	31	31	32	35	15	26
107984847	44	44	36	33	91	41	47	47	63	21	50
107984849	5	3	7	4	18	13	8	6	6	8	7
100288069	44	33	34	64	90	39	58	71	76	34	59
105378580	43	11	14	13	27	18	17	11	23	10	13
400728	23	10	9	19	10	9	20	19	12	5	6
79854	21	26	23	23	40	31	14	24	27	14	12
643837	577	890	621	431	870	823	761	311	375	222	305
107984850	1	6	1	3	1	0	0	3	0	0	1
284593	2	1	3	2	2	2	3	2	1	2	4
284600	52	24	5	19	8	2	5	64	167	23	18
100130417	16	11	0	1	2	2	1	64	116	9	28
107985728	0	4	0	1	0	0	5	109	171	17	35
148398	331	524	252	354	617	489	251	537	647	212	223
26155	6577	9116	4261	6511	10902	8544	4532	4643	3798	2933	2868
339451	388	888	602	837	1564	1046	642	955	732	717	708
84069	63	789	191	1140	355	639	476	450	638	198	523
84808	8	83	22	146	47	102	73	56	83	28	56
57801	323	1111	10	499	289	102	261	155	375	156	124
9636	9890	21770	722	16795	919	683	618	1218	650	525	284
375790	3929	20641	43443	18731	16248	42267	62003	34224	90322	53797	41293
100288175	12	92	33	109	393	81	277	81	296	46	20
112267874	2	27	4	16	45	11	62	14	61	35	11
105378948	9	77	27	103	306	61	250	81	260	94	30
401934	0	2	0	2	0	0	7	1	7	1	0
54991	396	617	358	433	1233	665	607	443	525	315	329
254099	0	1	0	0	0	0	0	0	0	0	0
406984	0	0	0	2	0	0	5	0	0	2	0
406983	0	0	0	4	0	0	6	0	0	1	0
554210	0	0	0	2	0	0	2	0	0	3	0
100506376	0	0	0	0	0	0	0	0	0	0	0
254173	0	1	0	0	0	0	0	0	0	0	0
8784	0	0	0	3	3	0	0	4	12	74	3
7293	2	3	0	2	25	30	0	17	1	1	1
51150	7666	7664	6935	6229	8729	6105	8319	8490	9432	9182	7883
126792	1895	1658	951	834	1387	1200	1402	1867	1957	1712	1234
388581	14	20	8	23	12	15	35	23	16	20	20
118424	2211	2352	2875	3021	5441	4417	3444	1822	1801	2009	1645
101928895	44	116	63	84	95	120	119	111	187	95	122
6339	95	278	178	106	260	337	260	208	416	213	208
116983	974	2269	3240	1211	2903	2030	2017	1752	2169	2126	1812
102465434	0	1	1	1	1	0	1	0	1	2	0
109623456	1	12	22	3	9	7	10	6	18	14	12
126789	393	848	563	603	1269	742	839	722	679	699	453
54973	2929	4758	2280	3257	4105	4275	3282	2926	3014	2323	2820
102465435	4	10	6	4	11	12	7	8	12	7	7
80772	775	1934	818	1291	1295	1553	1631	1031	970	1044	1216
83756	25	184	30	79	32	60	41	35	27	45	57
1855	2295	5877	3441	8028	4337	4994	6061	4100	2873	4659	7182
102466740	1	7	3	8	8	3	6	5	3	3	7
54587	121	7124	137	7137	4199	2812	280	1415	2414	9975	24998
54998	3815	4303	2376	3314	4715	4744	3544	3431	2603	2653	2647
81669	3750	5716	5426	4563	7245	5763	5792	4800	7418	6464	5341
148413	636	1326	724	842	803	1006	845	635	1326	812	669
55052	2115	3435	2024	2291	3133	2797	2287	1530	1645	1747	1381
107984868	0	1	0	0	0	0	1	1	2	1	1
441869	2	0	0	11	0	36	0	2	5	11	78
105378585	0	2	0	3	0	3	0	2	1	4	13
643965	0	0	0	5	0	0	4	1	3	3	6
102724312	0	0	0	3	0	1	1	6	1	13	53
107985729	0	0	0	1	0	0	0	3	1	3	17
64856	180	1	0	13	45	19	75	520	135	1019	2528
219293	41	60	60	88	64	105	87	50	122	93	107
83858	1401	1935	1726	1687	2420	3689	1441	1039	1103	891	1070
55210	2457	3132	1708	1707	4234	4944	2076	2226	1617	1549	1634
339453	17	10	54	27	9	30	22	37	116	8	117
29101	5962	7749	3657	4651	3858	3614	4531	3780	2925	2021	2297
643988	189	85	301	2	241	82	104	300	1433	656	424
105378586	6	5	24	1	8	7	9	18	110	65	41
142678	1731	1818	1761	1048	2104	1496	2476	2356	2687	1838	1831
8510	28	56	42	56	39	48	171	40	64	71	120
984	2024	2733	1861	1807	2901	2060	2200	953	1935	1497	1624
728661	2680	3899	4042	3646	3992	3164	3367	1099	4677	4128	4228
8511	10	17	17	29	7	10	139	23	25	48	71
728642	1188	1890	1043	1325	1826	1280	1243	1022	1440	1085	1099
9906	2965	2535	1182	1369	1702	1472	2019	1279	1703	1542	1603
112268218	207	275	182	287	194	179	233	129	261	218	205
65220	2730	2952	1918	2906	2337	1936	2849	1514	2520	2372	1993
2782	19050	25180	21144	16003	30933	29823	20110	20503	15939	20880	20196
105378949	3	49	6	45	3	11	13	29	9	11	10
163688	14	4	6	1	0	1	4	3	13	8	5
339456	67	0	6	48	4	0	57	13	3	17	6
85452	2	0	0	0	0	0	2	0	1	0	0
107984872	0	0	0	0	0	0	1	0	0	0	0
105378589	1	0	0	0	0	0	0	0	0	1	0
2563	9	0	0	0	0	0	0	0	3	0	0
105378590	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	2	1	0
5590	243	185	240	165	83	141	1568	293	1450	731	85
100506504	13	38	58	53	16	38	59	35	72	17	12
199990	1110	2117	1569	1832	2098	1415	1911	1729	1440	1649	1515
112268219	91	232	159	170	196	196	458	132	246	140	142
105378593	2	4	0	3	3	1	6	12	9	8	12
6497	4949	4177	3417	3295	5764	6432	2657	4834	4375	3003	4671
79906	142	547	161	258	74	159	225	328	423	178	224
100129534	59	56	131	8	8	43	89	87	238	94	57
11079	5979	8064	6407	6075	7019	6826	5318	5453	5314	5748	5173
5192	690	1486	1042	1799	1120	1417	1891	1244	1544	1159	1337
9651	17	100	23	27	42	35	67	60	48	50	1931
55229	1210	1137	668	989	1575	1034	1049	901	857	990	1023
388585	0	0	0	1	0	0	1	0	0	0	8
115110	6	52	254	332	43	44	149	85	173	231	321
8764	76	389	1357	1950	331	379	749	657	928	1308	1811
100996583	0	2	1	8	0	1	1	1	1	2	4
127281	885	3757	1757	1111	1189	1486	1551	956	1209	930	1874
79258	105	458	224	168	149	186	191	137	163	121	241
105378597	1	0	1	0	0	0	2	1	1	0	1
100287898	4	40	23	24	6	9	44	22	36	14	20
105378603	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0
107985732	0	1	0	0	0	0	0	0	0	0	1
105378600	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	2	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	1
105378599	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0
440556	0	0	42	0	3	0	0	3	40	7	57
63976	0	0	772	3	162	2	4	43	262	171	683
100422968	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	3	0	0	0	0	0	0	0	1
107984909	0	0	1	3	0	0	0	1	0	2	1
105378605	0	0	1	0	0	0	0	0	0	0	1
105378604	6	0	30	5	104	174	19	43	8	21	29
27237	5	0	0	6	53	4	514	5	29	50	22
1953	11	10	4	28	1068	7	2788	77	1054	115	694
105378608	0	0	0	0	0	0	4	2	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0
105378607	0	1	0	0	0	0	0	0	0	0	0
127262	1935	2017	2118	1789	1732	2222	2149	1366	1987	1839	1731
49856	924	965	641	809	1303	847	929	1013	717	681	591
7161	11	102	4	7	297	14	14	152	263	42	33
105378610	0	0	0	1	0	0	2	0	0	1	0
105378609	0	0	0	0	0	0	0	0	0	0	0
57212	1659	198	136	327	222	105	1797	984	2422	1306	1596
148870	3	4	1	1	0	0	8	0	29	1	4
388588	6	33	8	78	0	4	213	5	54	82	220
57470	2652	2591	1817	2183	3212	2554	2560	2183	2198	2042	2006
9731	1760	1487	1341	1720	1796	1615	2264	2052	2053	1437	1282
1677	251	182	273	216	476	261	247	235	254	278	164
107984910	14	11	4	15	11	25	8	3	3	2	6
339448	1165	1103	994	998	1460	1139	1307	751	770	724	806
100133612	15	3	1	9	1	12	6	2	9	3	2
728716	0	0	0	0	0	0	0	0	0	0	0
105376672	0	1	2	0	0	0	1	2	0	0	0
105376673	0	253	0	0	0	0	0	0	0	2	0
284661	0	1	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	3	1	0	0	25	0	3	0	0
55966	4	19	3	1	865	5	818	89	203	0	0
105376680	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	1	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0	0
261734	1008	671	846	664	1069	686	1053	1219	1188	640	985
8514	97	997	2359	679	747	263	2195	1502	1062	612	429
26038	27	9	0	4	8	5	16	10	143	13	7
105376687	0	0	0	0	0	0	0	0	0	0	0
6146	15650	17756	17736	15798	18719	17703	22743	10914	15584	14065	14070
107985733	131	192	148	165	171	130	208	110	156	146	108
102724450	4	113	17	29	9	2	13	26	22	25	24
388591	561	939	840	1226	444	289	912	615	753	686	406
23463	5600	10150	7948	4536	10141	9726	5218	5342	5608	7780	8380
148645	23	11	2	13	4	3	13	13	9	2	1
390992	0	0	0	0	0	0	0	0	0	0	0
387509	167	685	1204	623	174	509	994	570	679	647	387
11332	6923	4092	3216	3629	6567	5785	1586	1785	1280	1839	2706
54626	2	14	0	4	1	1	5	1	26	188	89
83715	145	29	28	39	25	20	19	17	26	27	20
100422975	0	0	0	0	0	0	0	0	0	0	0
8718	828	427	319	529	493	206	162	192	261	226	339
57449	3996	2299	1436	2741	1523	671	962	1002	1069	1489	1763
79707	1132	1321	721	1134	1858	1499	1051	626	875	643	630
80835	0	1	1	2	0	0	2	1	3	3	2
107984912	0	0	0	0	0	0	0	0	1	0	0
3104	535	719	635	706	643	663	544	421	539	538	406
9903	2080	3072	2475	5312	3076	5772	1993	1653	1870	1573	2045
107984913	1	8	7	6	4	10	11	4	36	10	13
148479	1086	2215	1286	1318	2284	1923	1996	1282	2129	1666	1999
90326	1108	1313	837	1089	1516	1107	1010	896	949	1041	908
55735	3381	3604	2030	2454	3601	2923	2271	1647	2282	1961	1606
100505887	0	0	0	0	0	0	0	0	0	0	0
110841581	5	11	2	5	8	9	3	13	23	2	7
23261	997	1043	822	473	1260	938	1224	1066	1459	875	948
105376692	0	0	0	1	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	1
101928836	0	5	3	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	1	0
105376689	0	0	0	1	0	0	2	9	241	3	9
9341	5380	8378	7958	5645	5337	6826	6524	4954	6069	5721	7256
8863	313	2082	2102	1284	837	1142	2531	2083	2045	2547	5907
10911	21	0	1	6	1	1	5	2	3	17	2
3604	1744	202	306	1445	13	31	313	99	299	999	91
11315	8111	8532	8037	6792	12675	9395	8772	6152	7263	6636	6158
54206	9145	3233	5493	8112	11763	11031	2702	7056	1093	2005	2197
107984915	2	0	0	1	0	0	2	0	1	0	0
102724539	2	0	0	3	1	0	0	0	0	1	0
105376695	0	0	0	0	0	0	0	0	0	0	0
50651	61	55	65	0	34	8	121	60	207	89	46
473	4915	4776	2799	2568	6108	6249	2673	4529	3610	2795	3648
102724552	0	1	2	0	3	2	2	1	0	1	2
106632271	0	0	0	0	0	0	0	0	0	0	0
2023	101029	148383	82996	104116	199491	154324	145376	90494	81026	96215	88831
102465436	5	8	3	3	8	4	4	2	3	3	4
100505975	18	59	14	25	84	30	69	10	22	18	13
112268261	3	0	0	0	1	1	0	0	0	1	0
765	9	0	0	2	0	3	1	1	0	0	0
155184	0	0	0	0	0	0	0	4	0	0	0
6518	5	1	1	36	2	0	20	33	5	1	0
80045	310	73	264	235	395	380	486	796	223	184	248
106614088	6	1	488	38	11	595	15	105	564	405	405
407040	0	0	1	0	1	3	0	1	5	5	4
102724571	1	0	156	2	0	3	1	3	65	142	66
9563	3252	1411	2784	4118	1774	3052	7477	13241	5952	4252	5867
80176	1090	1711	1567	1827	1855	2283	940	1663	745	680	1003
100506022	41	33	105	4	49	35	34	49	49	51	70
84275	1178	858	372	2	631	620	643	353	270	220	121
199953	730	1909	942	1031	1490	2225	1015	829	888	875	647
107985734	21	65	15	16	36	48	27	19	21	6	12
105376712	0	0	0	0	0	0	0	0	0	0	0
5293	434	6347	2444	2494	5369	8794	5591	3257	2413	3688	2584
644997	0	0	0	0	0	1	0	0	0	0	0
101929074	78	109	86	23	20	34	105	64	40	107	55
22883	11308	20012	7280	13422	10751	13805	14842	10878	9723	12236	12802
56998	1350	1957	984	515	1432	2150	1971	1080	1197	2092	1877
105376717	121	124	64	41	124	150	166	70	61	107	109
84328	2183	2745	1830	1567	2570	2389	2184	1383	1944	1463	1598
64802	371	1694	770	336	654	1235	974	567	840	648	622
113391335	2	2	0	0	0	0	0	0	0	0	0
100847055	0	0	0	0	0	0	0	0	0	0	0
116362	21	178	2	1	1	31	28	1	44	19	106
10277	2662	3531	2753	2593	4632	4575	3966	2750	3689	4052	4445
23095	5508	5768	2814	4319	5851	3980	4466	4065	4241	3031	2992
105376725	0	0	10	0	2	1	1	1	1	0	0
5226	12214	6667	45596	4381	11827	8258	4357	2935	4449	4758	5068
100526739	614	476	365	302	459	301	470	224	367	252	318
378708	753	542	428	371	550	378	542	269	451	302	372
1325	27	38	27	18	34	13	31	10	14	8	20
1676	2708	6214	2685	3808	4362	4398	4504	2892	4234	2499	2460
5195	1149	1868	822	1220	1563	1104	1112	1005	1044	972	1003
54897	181	87	15	10	25	39	484	34	422	130	238
105376733	0	0	0	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0	0	0	0
148345	1	0	0	1	0	0	0	0	1	0	0
23435	7195	8090	5797	9446	10872	7746	5438	4108	6591	5725	4848
10747	52	40	93	49	60	57	58	13	97	80	57
6723	7259	6903	4797	5368	6160	6131	3969	3694	3228	3540	3197
5394	3306	4298	2292	3352	6498	4341	2850	2717	2706	2931	2700
105376736	98	123	70	85	222	111	91	73	84	72	93
2475	7079	6387	4218	4009	6517	6374	4678	5035	5002	4615	3006
100873935	102	90	69	55	105	82	69	76	64	73	43
10218	2	0	0	0	0	0	30	0	7	1	0
29914	3104	1824	1123	2124	2106	1648	1016	662	1028	778	738
105376737	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0
105376740	0	1	0	0	0	0	0	0	0	0	0
57540	79	1	1	0	1	0	3	2	14	3	6
112268221	5	1	1	1	1	0	0	1	2	0	1
101929181	1	0	0	0	0	0	4	0	0	0	0
26232	76	137	1	459	7	12	4007	34	311	381	960
93611	472	932	205	901	217	69	1598	96	1178	1192	974
26270	311	296	18	564	61	4	426	153	172	228	148
10459	1065	2833	1183	1161	2888	1870	1863	1569	1419	1111	1849
374946	10	49	10	1	240	2	0	9	92	263	809
57085	1776	1854	1205	1527	1382	1809	1190	1506	1124	920	1118
284498	137	243	106	68	43	135	175	159	289	257	274
102724659	0	0	0	0	0	0	0	0	0	0	0
4524	615	1276	524	519	219	677	866	709	1250	1201	1245
1185	493	695	821	739	1345	1517	871	1654	1155	654	870
100379251	58	119	137	93	206	238	113	166	128	79	95
4878	4	14	15	6	37	35	14	4	3	1	3
4879	0	1	0	3	0	3	59	1	2	0	0
